factor_id,scenario_id,source,mean_Delta_T_h,SE,screening_CI_low,screening_CI_high,standardized_effect,sign_consistency,authority,status
F2,F2_TURNOVER_05,Q4_SCREENING,-1507/20,1.758102,-79.029707,-71.670293,-9.583503,ALL_NEG,-,SCREENING_ONLY_NON_FINAL
F4-E,F4_E_M10,Q4_SCREENING,-7097/200,1.476915,-38.576183,-32.393817,-5.372474,ALL_NEG,-,SCREENING_ONLY_NON_FINAL
F4-C,F4_C_P10,Q4_SCREENING,159/10,0.98832,13.831446,17.968554,3.597366,ALL_POS,-,SCREENING_ONLY_NON_FINAL
F4-E,F4_E_P10,Q4_SCREENING,6215449104249006633007/345876451382054092800,1.558438,14.708331,21.231954,2.57838,ALL_POS,-,SCREENING_ONLY_NON_FINAL
F4-A,F4_A_P10,Q4_SCREENING,273/20,1.357533,10.808684,16.491316,2.248368,ALL_POS,-,SCREENING_ONLY_NON_FINAL
F3,F3_TAU150,Q4_SCREENING,11/8,0.745638,-0.18562,2.93562,0.412344,MIXED,COUNTERFACTUAL_ONLY,SCREENING_ONLY_NON_FINAL
F4-A,F4_A_M10,Q4_SCREENING,-19/40,0.350704,-1.209024,0.259024,-0.302857,MIXED,-,SCREENING_ONLY_NON_FINAL
F3,F3_TAU180,Q4_SCREENING,29/40,0.560163,-0.447422,1.897422,0.289407,MIXED,COUNTERFACTUAL_ONLY,SCREENING_ONLY_NON_FINAL
F3,F3_TAU210,Q4_SCREENING,33213993915376109987/69175290276410818560,0.414433,-0.387267,1.347552,0.25906,MIXED,COUNTERFACTUAL_ONLY,SCREENING_ONLY_NON_FINAL
F4-C,F4_C_M10,Q4_SCREENING,-1/2,0.474342,-1.492797,0.492797,-0.235702,MIXED,-,SCREENING_ONLY_NON_FINAL
F4-B,F4_B_M10,Q4_SCREENING,-1/50,0.02,-0.06186,0.02186,-0.223607,MIXED,-,SCREENING_ONLY_NON_FINAL
F4-B,F4_B_P10,Q4_SCREENING,1/50,0.02,-0.02186,0.06186,0.223607,MIXED,-,SCREENING_ONLY_NON_FINAL
F5,F5_CONSTANT_HAZARD,Q4_SCREENING,3/5,0.6,-0.6558,1.8558,0.223607,MIXED,MODEL_SEMANTIC_ONLY,SCREENING_ONLY_NON_FINAL
