n_ewe_per_batch,n_batches,total_base_ewes,total_rams,pens_mate,pens_preg,pens_nurs,pens_rest,pens_fatt,pens_ram,total_pens,annual_output
14,27,378,8,3,36,15,3,50,2,109,1204.9781659388645
14,26,364,8,3,34,15,3,48,2,105,1160.3493449781658
7,51,357,8,5,34,18,5,47,1,110,1138.0349344978165
13,27,351,8,3,36,15,3,50,2,109,1118.9082969432313
7,50,350,7,5,33,18,5,46,1,108,1115.7205240174671
14,25,350,7,3,34,15,3,46,1,102,1115.7205240174671
12,29,348,7,3,38,12,3,54,1,111,1109.3449781659388
7,49,343,7,5,32,18,5,45,1,106,1093.406113537118
6,57,342,7,5,38,10,5,53,1,112,1090.2183406113538
13,26,338,7,3,34,15,3,48,1,104,1077.467248908297
6,56,336,7,5,37,10,5,52,1,110,1071.0917030567687
7,48,336,7,5,32,18,5,45,1,106,1071.0917030567687
12,28,336,7,3,38,10,3,52,1,107,1071.0917030567687
14,24,336,7,3,32,15,3,46,1,100,1071.0917030567687
6,55,330,7,5,36,10,5,51,1,108,1051.9650655021835
7,47,329,7,5,31,18,5,44,1,104,1048.7772925764193
13,25,325,7,3,34,15,3,46,1,102,1036.0262008733625
6,54,324,7,5,36,10,5,50,1,107,1032.8384279475983
12,27,324,7,3,36,10,3,50,1,103,1032.8384279475983
7,46,322,7,5,30,18,5,43,1,102,1026.46288209607
14,23,322,7,3,30,15,3,44,1,96,1026.46288209607
11,29,319,7,3,38,12,3,54,1,111,1016.8995633187773
6,53,318,7,5,35,10,5,49,1,105,1013.7117903930131
7,45,315,7,4,30,16,4,42,1,97,1004.1484716157205
6,52,312,7,5,34,10,5,48,1,103,994.5851528384279
12,26,312,7,3,34,10,3,48,1,99,994.5851528384279
13,24,312,7,3,32,15,3,46,1,100,994.5851528384279
7,44,308,7,4,29,16,4,41,1,95,981.8340611353711
11,28,308,7,3,38,10,3,52,1,107,981.8340611353711
14,22,308,7,2,30,12,2,42,2,90,981.8340611353711
6,51,306,7,5,34,9,5,47,1,101,975.4585152838428
7,43,301,7,4,28,16,4,40,1,93,959.5196506550218
6,50,300,6,5,33,9,5,46,1,99,956.3318777292576
12,25,300,6,3,34,10,3,46,1,97,956.3318777292576
13,23,299,6,3,30,15,3,44,1,96,953.1441048034934
11,27,297,6,3,36,10,3,50,1,103,946.768558951965
6,49,294,6,5,32,9,5,45,1,97,937.2052401746724
7,42,294,6,4,28,16,4,39,1,92,937.2052401746724
14,21,294,6,2,28,12,2,40,1,85,937.2052401746724
10,29,290,6,3,38,12,3,54,1,111,924.4541484716157
6,48,288,6,5,32,9,5,45,1,97,918.0786026200873
12,24,288,6,3,32,10,3,46,1,95,918.0786026200873
7,41,287,6,4,27,16,4,38,1,90,914.8908296943231
11,26,286,6,3,34,10,3,48,1,99,911.703056768559
13,22,286,6,2,30,12,2,42,1,89,911.703056768559
5,57,285,6,5,38,10,5,53,1,112,908.5152838427948
6,47,282,6,5,31,9,5,44,1,95,898.9519650655022
5,56,280,6,5,37,10,5,52,1,110,892.5764192139738
7,40,280,6,4,27,14,4,37,1,87,892.5764192139738
8,35,280,6,4,23,14,4,66,1,112,892.5764192139738
10,28,280,6,3,38,10,3,52,1,107,892.5764192139738
14,20,280,6,2,28,12,2,38,1,83,892.5764192139738
6,46,276,6,5,30,9,5,43,1,93,879.8253275109171
12,23,276,6,3,30,10,3,44,1,91,879.8253275109171
5,55,275,6,5,36,10,5,51,1,108,876.6375545851529
11,25,275,6,3,34,10,3,46,1,97,876.6375545851529
7,39,273,6,4,26,14,4,36,1,85,870.2620087336245
13,21,273,6,2,28,12,2,40,1,85,870.2620087336245
8,34,272,6,3,23,12,3,64,1,106,867.0742358078603
5,54,270,6,5,36,10,5,50,1,107,860.6986899563319
