day,cycle_day,x_t,b_t,pens_mate,pens_preg,pens_nurs,pens_rest,pens_fatt,pens_ram,pens_total
0,0,14,1,3,35,14,2,55,2,111
1,1,0,0,3,35,14,2,55,2,111
2,2,0,0,3,35,12,3,57,2,112
3,3,0,0,3,35,12,3,57,2,112
4,4,0,0,3,35,12,3,57,2,112
5,5,0,0,2,37,12,3,55,2,111
6,6,0,0,2,35,14,3,55,2,111
7,7,14,1,3,35,14,2,55,2,111
8,8,0,0,3,35,14,2,55,2,111
9,9,0,0,3,35,14,2,55,2,111
10,10,0,0,3,35,12,3,57,2,112
11,11,0,0,3,35,12,3,57,2,112
12,12,0,0,3,35,12,3,57,2,112
13,13,0,0,2,36,12,3,55,2,110
14,14,0,0,2,35,14,3,55,2,111
15,15,13,1,3,35,14,2,55,2,111
16,16,0,0,3,35,14,2,55,2,111
17,17,0,0,3,35,12,3,57,2,112
18,18,0,0,3,35,12,3,57,2,112
19,19,0,0,3,35,12,3,57,2,112
20,20,0,0,2,37,12,3,55,2,111
21,21,0,0,2,35,14,3,55,2,111
22,22,14,1,3,35,14,2,55,2,111
23,23,0,0,3,35,14,2,55,2,111
24,24,0,0,3,35,12,3,57,2,112
25,25,0,0,3,35,12,3,57,2,112
26,26,0,0,3,35,12,3,57,2,112
27,27,0,0,2,37,12,3,55,2,111
28,28,0,0,2,37,12,3,55,2,111
29,29,0,0,2,35,14,3,55,2,111
30,30,14,1,3,35,14,2,55,2,111
31,31,0,0,3,35,14,2,55,2,111
32,32,0,0,3,35,12,3,57,2,112
33,33,0,0,3,35,12,3,57,2,112
34,34,0,0,3,35,12,3,57,2,112
35,35,0,0,2,36,12,3,55,2,110
36,36,0,0,2,35,14,3,55,2,111
37,37,14,1,3,35,14,2,55,2,111
38,38,0,0,3,35,14,2,55,2,111
39,39,0,0,3,35,12,3,57,2,112
40,40,0,0,3,35,12,3,57,2,112
41,41,0,0,3,35,12,3,57,2,112
42,42,0,0,2,36,12,3,55,2,110
