batch_id,start_day,batch_size,mating_end_day,pregnancy_end_day,nursing_end_day,rest_end_day,fattening_end_day,start_day_mod229
1,0,14,19,168,208,228,418,0
2,7,14,26,175,215,235,425,7
3,15,13,34,183,223,243,433,15
4,22,14,41,190,230,250,440,22
5,30,14,49,198,238,258,448,30
6,37,14,56,205,245,265,455,37
7,44,14,63,212,252,272,462,44
8,52,13,71,220,260,280,470,52
9,59,14,78,227,267,287,477,59
10,66,14,85,234,274,294,484,66
11,74,13,93,242,282,302,492,74
12,81,14,100,249,289,309,499,81
13,89,14,108,257,297,317,507,89
14,96,14,115,264,304,324,514,96
15,103,14,122,271,311,331,521,103
16,111,14,130,279,319,339,529,111
17,118,14,137,286,326,346,536,118
18,126,14,145,294,334,354,544,126
19,133,14,152,301,341,361,551,133
20,140,13,159,308,348,368,558,140
21,148,14,167,316,356,376,566,148
22,155,13,174,323,363,383,573,155
23,163,14,182,331,371,391,581,163
24,170,14,189,338,378,398,588,170
25,177,14,196,345,385,405,595,177
26,185,13,204,353,393,413,603,185
27,192,14,211,360,400,420,610,192
28,199,13,218,367,407,427,617,199
29,207,14,226,375,415,435,625,207
30,214,14,233,382,422,442,632,214
31,222,13,241,390,430,450,640,222
