day,x_t,pen_mate,pen_preg,pen_nurs,pen_rest,pen_fatt,pen_total
0,2,3,35,13,3,56,112
1,2,3,35,13,3,56,112
2,2,3,35,13,3,56,112
3,2,3,35,13,3,56,112
4,2,3,35,13,3,56,112
5,2,3,35,13,3,56,112
6,2,3,35,13,3,56,112
7,2,3,35,13,3,56,112
8,2,3,35,13,3,56,112
9,2,3,35,13,3,56,112
10,2,3,35,13,3,56,112
11,0,3,35,13,3,56,112
12,2,3,35,13,3,56,112
13,2,3,35,13,3,56,112
14,2,3,35,13,3,56,112
15,2,3,35,13,3,56,112
16,2,3,35,13,3,56,112
17,2,3,35,13,3,56,112
18,2,3,35,13,3,56,112
19,2,3,35,13,3,56,112
20,2,3,35,13,3,56,112
21,2,3,35,13,3,56,112
22,2,3,35,13,3,56,112
23,2,3,35,13,3,56,112
24,0,3,35,13,3,56,112
25,2,3,35,13,3,56,112
26,2,3,35,13,3,56,112
27,2,3,35,12,3,56,111
28,2,3,35,13,3,56,112
29,2,3,35,13,3,56,112
30,2,3,35,13,3,56,112
31,2,3,35,13,3,56,112
32,2,3,35,13,3,56,112
33,2,3,35,13,3,56,112
34,2,3,35,13,3,56,112
35,2,3,35,13,3,56,112
36,2,3,35,13,3,56,112
37,2,3,35,13,3,56,112
38,2,3,35,13,3,56,112
39,2,3,35,13,3,56,112
40,2,3,35,12,3,56,111
41,2,3,35,13,3,56,112
42,2,3,35,13,3,56,112
43,2,3,35,13,3,56,112
44,2,3,35,13,3,56,112
45,2,3,35,13,3,56,112
46,2,3,35,13,3,56,112
47,2,3,35,13,3,56,112
48,0,3,35,13,3,56,112
49,2,3,35,13,3,56,112
50,2,3,35,13,3,56,112
51,2,3,35,13,3,56,112
52,2,3,35,13,3,56,112
53,2,3,35,13,3,56,112
54,2,3,35,13,3,56,112
55,2,3,35,13,3,56,112
56,2,3,35,13,3,56,112
57,2,3,35,13,3,56,112
58,2,3,35,13,3,56,112
59,2,3,35,13,3,56,112
60,2,3,35,13,3,56,112
61,0,3,35,13,3,56,112
62,2,3,35,13,3,56,112
63,2,3,35,13,3,56,112
64,2,3,35,13,3,56,112
65,2,3,35,13,3,56,112
66,2,3,35,13,3,56,112
67,2,3,35,13,3,56,112
68,2,3,35,13,3,56,112
69,2,3,35,13,3,56,112
70,2,3,35,13,3,56,112
71,2,3,35,13,3,56,112
72,2,3,35,13,3,56,112
73,2,3,35,13,3,56,112
74,0,3,35,13,3,56,112
75,2,3,35,13,3,56,112
76,2,3,35,13,3,56,112
77,2,3,35,13,3,56,112
78,2,3,35,13,3,56,112
79,2,3,35,13,3,56,112
80,2,3,35,13,3,56,112
81,2,3,35,13,3,56,112
82,2,3,35,13,3,56,112
83,2,3,35,13,3,56,112
84,2,3,35,13,3,56,112
85,2,3,35,13,3,56,112
86,2,3,35,13,3,56,112
87,0,3,35,13,3,56,112
88,2,3,35,13,3,56,112
89,2,3,35,13,3,56,112
90,2,3,35,13,3,56,112
91,2,3,35,13,3,56,112
92,2,3,35,13,3,56,112
93,2,3,35,13,3,56,112
94,2,3,35,13,3,56,112
95,2,3,35,13,3,56,112
96,2,3,35,13,3,56,112
97,2,3,35,13,3,56,112
98,2,3,35,13,3,56,112
99,2,3,35,13,3,56,112
100,0,3,35,13,3,56,112
101,2,3,35,13,3,56,112
102,2,3,35,13,3,56,112
103,2,3,35,12,3,56,111
104,2,3,35,13,3,56,112
105,2,3,35,13,3,56,112
106,2,3,35,13,3,56,112
107,2,3,35,13,3,56,112
108,2,3,35,13,3,56,112
109,2,3,35,13,3,56,112
110,2,3,35,13,3,56,112
111,2,3,35,13,3,56,112
112,2,3,35,13,3,56,112
113,2,3,35,13,3,56,112
114,2,3,35,13,3,56,112
115,2,3,35,13,3,56,112
116,2,3,35,12,3,56,111
117,2,3,35,13,3,56,112
118,2,3,35,13,3,56,112
119,2,3,35,13,3,56,112
120,2,3,35,13,3,56,112
121,2,3,35,13,3,56,112
122,2,3,35,13,3,56,112
123,2,3,35,13,3,56,112
124,0,3,35,13,3,56,112
125,2,3,35,13,3,56,112
126,2,3,35,13,3,56,112
127,2,3,35,13,3,56,112
128,2,3,35,13,3,56,112
129,2,3,35,12,3,56,111
130,2,3,35,13,3,56,112
131,2,3,35,13,3,56,112
132,2,3,35,13,3,56,112
133,2,3,35,13,3,56,112
134,2,3,35,13,3,56,112
135,2,3,35,13,3,56,112
136,2,3,35,13,3,56,112
137,0,3,35,13,3,56,112
138,2,3,35,13,3,56,112
