annual_output,mean_daily_loss,mean_idle,mean_shortage,utilization,max_daily_pens,loss_std,loss_p95,loss_cvar95,rental_day_ratio,planned_matings,executed_matings,execution_rate,scheme,N,R,h,seed,phase,q_max,B,engine_version,recomputed
1259.6,24.816986301369862,0.0,8.272328767123287,107.38600782778865,126,5.604415230807569,33.0,34.18226600985221,1.0,0,0,0.0,A,426,9,40,2000,final,,,v2.2,False
1100.6,3.9013698630136986,3.875068493150685,0.0087671232876712,96.54794520547944,114,1.897055453690364,7.0,7.558823529411764,0.0071232876712328,0,0,0.0,B,378,8,40,2000,final,,,v2.2,False
1215.8,7.800547945205479,4.087123287671233,1.237808219178082,97.4559686888454,124,6.111868283112599,21.0,24.31451612903226,0.2778082191780822,3871,3871,1.0,C_h40,378,8,40,2000,final,21.0,0.0,v2.2,False
1219.6,5.32986301369863,3.3687671232876717,0.6536986301369863,97.57583170254404,121,4.203266173736455,13.0,17.378947368421052,0.2076712328767123,4116,4116,1.0,C_h45,378,8,45,2000,final,21.0,0.0,v2.2,False
1250.8,24.435616438356163,0.0,8.145205479452056,107.2725048923679,127,6.676692773213961,36.0,37.248,1.0,0,0,0.0,A,426,9,40,2001,final,,,v2.2,False
1087.8,4.8273972602739725,4.815890410958904,0.0038356164383561,95.70352250489236,115,2.068274099470555,8.0,8.494791666666666,0.0027397260273972,0,0,0.0,B,378,8,40,2001,final,,,v2.2,False
1238.6,6.576438356164384,2.544109589041096,1.344109589041096,98.92857142857142,124,6.405417921970973,21.0,24.155172413793103,0.3183561643835616,3983,3983,1.0,C_h40,378,8,40,2001,final,21.0,0.0,v2.2,False
1228.8,4.573150684931507,2.8767123287671232,0.5654794520547946,97.93639921722114,120,3.729952581859127,12.0,14.796296296296296,0.2202739726027397,4151,4151,1.0,C_h45,378,8,45,2001,final,21.0,0.0,v2.2,False
1246.4,23.72383561643836,0.0,7.907945205479452,107.06066536203522,127,6.2916512642435904,33.0,34.824120603015075,1.0,0,0,0.0,A,426,9,40,2002,final,,,v2.2,False
1092.4,3.897534246575343,3.8663013698630135,0.0104109589041095,96.55724070450098,114,2.062594881404713,8.0,8.5,0.0082191780821917,0,0,0.0,B,378,8,40,2002,final,,,v2.2,False
1223.0,4.663013698630137,3.30027397260274,0.4542465753424657,97.45890410958904,120,3.429246744870161,10.0,13.929824561403509,0.1715068493150685,4221,4221,1.0,C_h45,378,8,45,2002,final,21.0,0.0,v2.2,False
1219.8,6.754520547945205,3.667397260273973,1.029041095890411,97.64432485322897,123,5.16068689782572,18.0,20.62809917355372,0.2586301369863014,3976,3976,1.0,C_h40,378,8,40,2002,final,21.0,0.0,v2.2,False
1252.2,23.684383561643838,0.0,7.894794520547945,107.04892367906066,125,5.600076603657747,33.0,34.145833333333336,1.0,0,0,0.0,A,426,9,40,2003,final,,,v2.2,False
1085.4,3.8783561643835616,3.8635616438356166,0.004931506849315,96.55479452054794,113,1.710230290691927,7.0,7.4,0.004931506849315,0,0,0.0,B,378,8,40,2003,final,,,v2.2,False
1212.0,7.471780821917808,4.364931506849315,1.0356164383561643,97.02739726027396,122,5.341557360887734,18.0,20.66923076923077,0.2772602739726027,4018,4018,1.0,C_h40,378,8,40,2003,final,21.0,0.0,v2.2,False
1222.4,4.579178082191781,2.927123287671233,0.5506849315068493,97.87818003913894,120,3.455132906709685,12.0,14.732673267326732,0.2060273972602739,4186,4186,1.0,C_h45,378,8,45,2003,final,21.0,0.0,v2.2,False
1246.8,22.745753424657533,0.0,7.581917808219178,106.76956947162428,127,6.243418885511106,33.0,34.90384615384615,1.0,0,0,0.0,A,426,9,40,2004,final,,,v2.2,False
1081.4,4.608219178082192,4.595068493150685,0.0043835616438356,95.90117416829746,113,1.8458816048986055,8.0,8.281553398058252,0.0043835616438356,0,0,0.0,B,378,8,40,2004,final,,,v2.2,False
