version,seed,annual_output,mean_daily_loss
v1,1000,1120.8,11.514521
v1,1001,1130.4,11.872329
v1,1002,1137.6,10.566575
v1,1003,1118.0,10.467945
v1,1004,1117.4,11.187397
v1,1005,1144.2,10.964932
v1,1006,1143.4,10.768767
v1,1007,1148.0,10.488767
v1,1008,1088.2,11.986301
v1,1009,1163.4,9.674521
v2.1,1000,1120.8,11.514521
v2.1,1001,1130.4,11.872329
v2.1,1002,1137.6,10.566575
v2.1,1003,1118.0,10.467945
v2.1,1004,1117.4,11.187397
v2.1,1005,1144.2,10.964932
v2.1,1006,1143.4,10.768767
v2.1,1007,1148.0,10.488767
v2.1,1008,1088.2,11.986301
v2.1,1009,1163.4,9.674521
v2.2.1,1000,1120.8,11.514521
v2.2.1,1001,1130.4,11.872329
v2.2.1,1002,1137.6,10.566575
v2.2.1,1003,1118.0,10.467945
v2.2.1,1004,1117.4,11.187397
v2.2.1,1005,1144.2,10.964932
v2.2.1,1006,1143.4,10.768767
v2.2.1,1007,1148.0,10.488767
v2.2.1,1008,1088.2,11.986301
v2.2.1,1009,1163.4,9.674521
