day,pens_total,empty,shortage,daily_loss,lambs_sold_today,cumulative_sold,n_avail,n_mate,n_pend,n_preg,n_nurs,n_rest,mate_pens,pending_pens,preg_pens,nurs_pens,rest_pens,fatt_pens,ram_pens,active_batches
840,108,4,0,4.0,0,1570,20,84,0,186,84,4,6,0,24,16,1,58,1,2
841,109,3,0,3.0,1,1571,20,84,0,185,82,7,6,0,24,16,1,59,1,0
842,107,5,0,5.0,2,1573,20,84,0,182,83,9,6,0,23,16,1,58,1,0
843,108,4,0,4.0,0,1573,20,84,0,179,83,12,6,0,23,16,1,59,1,0
844,110,2,0,2.0,0,1573,20,84,0,179,82,13,6,0,23,16,2,60,1,0
845,110,2,0,2.0,5,1578,20,84,0,179,80,15,6,0,23,16,2,60,1,0
846,111,1,0,1.0,0,1578,20,56,28,179,79,16,4,4,23,15,2,60,1,0
847,112,0,0,0.0,5,1583,6,70,28,173,84,17,5,4,22,17,2,60,1,2
848,113,0,1,3.0,0,1583,6,70,28,170,84,20,5,4,22,17,2,61,1,0
849,112,0,0,0.0,2,1585,6,70,28,168,81,25,5,4,21,16,2,62,1,0
850,111,1,0,1.0,2,1587,6,70,28,164,84,26,5,4,21,17,2,60,1,0
851,111,1,0,1.0,0,1587,6,70,28,162,84,28,5,4,21,16,3,60,1,0
852,113,0,1,3.0,6,1593,6,70,28,159,86,29,5,4,20,17,4,61,1,0
853,114,0,2,6.0,9,1602,6,42,56,155,87,32,3,7,20,17,4,60,2,0
854,115,0,3,9.0,3,1605,7,42,56,155,83,35,3,7,20,16,4,62,2,2
855,114,0,2,6.0,8,1613,8,42,56,152,85,35,3,7,19,17,4,61,2,0
856,115,0,3,9.0,0,1613,8,42,56,147,88,37,3,7,19,17,5,61,2,0
857,115,0,3,9.0,2,1615,8,42,56,145,89,38,3,7,19,17,5,61,2,0
858,114,0,2,6.0,4,1619,10,42,56,143,90,37,3,7,18,17,5,61,2,0
859,113,0,1,3.0,6,1625,13,42,56,141,88,38,3,7,18,17,5,60,2,0
860,117,0,5,15.0,8,1633,15,14,84,141,87,37,1,11,18,17,5,61,2,0
861,116,0,4,12.0,4,1637,18,14,84,137,90,35,1,11,18,17,5,60,2,1
862,116,0,4,12.0,2,1639,19,14,84,135,91,35,1,11,17,17,5,61,2,0
863,116,0,4,12.0,7,1646,21,14,84,134,88,37,1,11,17,18,5,60,2,0
864,115,0,3,9.0,8,1654,22,14,84,133,86,39,1,11,17,17,4,61,2,0
865,116,0,4,12.0,0,1654,23,14,84,132,85,40,1,11,17,17,5,61,2,0
866,116,0,4,12.0,4,1658,26,14,84,129,87,38,1,11,17,17,5,61,2,0
867,115,0,3,9.0,6,1664,31,0,98,128,86,35,0,13,16,16,5,60,2,0
868,117,0,5,15.0,2,1666,32,0,98,127,86,35,0,13,16,17,5,61,2,0
869,116,0,4,12.0,3,1669,34,0,98,122,90,34,0,13,16,17,5,60,2,0
870,117,0,5,15.0,9,1678,35,0,98,121,87,37,0,13,16,17,5,61,2,0
871,117,0,5,15.0,9,1687,38,0,98,114,93,35,0,13,15,19,5,60,2,0
872,115,0,3,9.0,6,1693,42,0,98,112,92,34,0,13,14,18,4,61,2,0
873,117,0,5,15.0,8,1701,43,0,98,108,96,33,0,13,14,19,5,60,2,0
874,117,0,5,15.0,5,1706,45,0,98,107,92,36,0,13,14,19,5,60,2,0
875,115,0,3,9.0,0,1706,46,0,98,105,92,37,0,13,14,18,4,60,2,0
876,115,0,3,9.0,4,1710,47,0,70,122,98,41,0,9,16,19,6,59,2,0
877,114,0,2,6.0,11,1721,51,0,70,119,99,39,0,9,15,19,6,59,2,0
878,115,0,3,9.0,2,1723,52,0,70,117,99,40,0,9,15,19,6,60,2,0
879,115,0,3,9.0,6,1729,53,0,70,115,100,40,0,9,15,20,6,59,2,0
880,114,0,2,6.0,16,1745,54,0,70,112,103,39,0,9,14,20,6,59,2,0
881,113,0,1,3.0,10,1755,58,0,70,111,104,35,0,9,14,20,5,58,2,0
882,110,2,0,2.0,6,1761,33,28,70,107,108,32,2,9,14,21,4,55,2,0
883,110,2,0,2.0,2,1763,35,28,42,133,107,33,2,6,17,20,4,56,2,0
884,111,1,0,1.0,11,1774,36,28,42,132,106,34,2,6,17,20,5,56,2,0
885,111,1,0,1.0,3,1777,38,28,42,127,108,35,2,6,16,20,5,57,2,0
886,112,0,0,0.0,4,1781,39,28,42,124,110,35,2,6,16,21,5,57,2,0
887,112,0,0,0.0,2,1783,40,28,42,121,110,37,2,6,16,20,5,58,2,0
888,114,0,2,6.0,7,1790,44,28,42,115,113,36,2,6,15,22,5,58,2,0
889,112,0,0,0.0,5,1795,45,28,42,112,116,35,2,6,14,22,4,58,2,1
890,109,3,0,3.0,7,1802,48,28,14,131,117,40,2,2,17,23,4,55,2,0
891,109,3,0,3.0,2,1804,48,28,14,128,120,40,2,2,16,23,4,56,2,0
892,109,3,0,3.0,2,1806,53,28,14,126,116,41,2,2,16,22,5,56,2,0
893,110,2,0,2.0,7,1813,55,28,14,124,115,42,2,2,16,21,6,57,2,0
894,111,1,0,1.0,4,1817,60,28,14,122,115,39,2,2,16,22,5,57,2,0
895,111,1,0,1.0,2,1819,62,28,14,119,114,41,2,2,15,22,5,58,2,0
896,110,2,0,2.0,7,1826,36,56,14,117,114,41,4,2,15,22,5,58,1,1
897,110,2,0,2.0,7,1833,37,56,0,125,115,45,4,0,16,22,5,59,1,0
898,107,5,0,5.0,3,1836,37,56,0,123,113,49,4,0,16,22,5,56,1,0
899,109,3,0,3.0,6,1842,37,56,0,121,115,49,4,0,16,23,5,57,1,0
900,107,5,0,5.0,2,1844,37,56,0,119,114,52,4,0,15,21,6,57,1,0
901,106,6,0,6.0,5,1849,40,56,0,117,111,54,4,0,15,20,5,58,1,0
