version,seed,annual_output,mean_daily_loss,planned_matings,executed_matings,mean_idle,mean_shortage
v1,1000,1120.8,11.514521,3633.0,3633.0,9.116164,0.799452
v1,1001,1130.4,11.872329,3535.0,3535.0,10.113425,0.586301
v1,1002,1137.6,10.566575,3654.0,3654.0,8.76,0.602192
v1,1003,1118.0,10.467945,3633.0,3633.0,8.276712,0.730411
v1,1004,1117.4,11.187397,3647.0,3647.0,9.379178,0.60274
v1,1005,1144.2,10.964932,3626.0,3626.0,8.977534,0.662466
v1,1006,1143.4,10.768767,3591.0,3591.0,8.230685,0.846027
v1,1007,1148.0,10.488767,3710.0,3710.0,8.121644,0.789041
v1,1008,1088.2,11.986301,3542.0,3542.0,9.86411,0.707397
v1,1009,1163.4,9.674521,3654.0,3654.0,7.494795,0.726575
v2.1,1000,1120.8,11.514521,3633.0,3633.0,9.116164,0.799452
v2.1,1001,1130.4,11.872329,3535.0,3535.0,10.113425,0.586301
v2.1,1002,1137.6,10.566575,3654.0,3654.0,8.76,0.602192
v2.1,1003,1118.0,10.467945,3633.0,3633.0,8.276712,0.730411
v2.1,1004,1117.4,11.187397,3647.0,3647.0,9.379178,0.60274
v2.1,1005,1144.2,10.964932,3626.0,3626.0,8.977534,0.662466
v2.1,1006,1143.4,10.768767,3591.0,3591.0,8.230685,0.846027
v2.1,1007,1148.0,10.488767,3710.0,3710.0,8.121644,0.789041
v2.1,1008,1088.2,11.986301,3542.0,3542.0,9.86411,0.707397
v2.1,1009,1163.4,9.674521,3654.0,3654.0,7.494795,0.726575
v2.2.2,1000,1120.8,11.514521,3633.0,3633.0,9.116164,0.799452
v2.2.2,1001,1130.4,11.872329,3535.0,3535.0,10.113425,0.586301
v2.2.2,1002,1137.6,10.566575,3654.0,3654.0,8.76,0.602192
v2.2.2,1003,1118.0,10.467945,3633.0,3633.0,8.276712,0.730411
v2.2.2,1004,1117.4,11.187397,3647.0,3647.0,9.379178,0.60274
v2.2.2,1005,1144.2,10.964932,3626.0,3626.0,8.977534,0.662466
v2.2.2,1006,1143.4,10.768767,3591.0,3591.0,8.230685,0.846027
v2.2.2,1007,1148.0,10.488767,3710.0,3710.0,8.121644,0.789041
v2.2.2,1008,1088.2,11.986301,3542.0,3542.0,9.86411,0.707397
v2.2.2,1009,1163.4,9.674521,3654.0,3654.0,7.494795,0.726575
