annual_output,mean_daily_loss,mean_idle,mean_shortage,utilization,max_daily_pens,loss_std,loss_p95,loss_cvar95,rental_day_ratio,planned_matings,executed_matings,execution_rate,scheme,N,R,h,seed,phase,q_max,B,engine_version,recomputed
1242.6,23.04328767123288,0.0,7.681095890410959,106.85812133072407,127,6.5036924512988366,33.0,34.19607843137255,0.9989041095890412,0,0,0.0,A,426,9,40,1000,screen,,,v2.2,False
1262.8,26.102465753424656,0.0,8.70082191780822,107.76859099804304,128,6.87337855297642,39.0,40.87096774193548,1.0,0,0,0.0,A,426,9,40,1001,screen,,,v2.2,False
1256.8,23.6186301369863,0.0,7.872876712328767,107.0293542074364,126,5.60655194014416,33.0,34.234177215189874,1.0,0,0,0.0,A,426,9,40,1002,screen,,,v2.2,False
1244.2,21.432328767123288,0.0,7.144109589041096,106.37866927592954,126,6.696092921858889,33.0,34.27007299270073,1.0,0,0,0.0,A,426,9,40,1003,screen,,,v2.2,False
1268.0,28.12767123287671,0.0,9.375890410958904,108.37133072407046,129,7.806923539718499,42.0,43.24468085106383,1.0,0,0,0.0,A,426,9,40,1004,screen,,,v2.2,False
1270.8,26.24219178082192,0.0,8.747397260273972,107.81017612524462,128,6.698837587076173,36.0,37.677725118483416,1.0,0,0,0.0,A,426,9,40,1005,screen,,,v2.2,False
1244.2,22.487671232876718,0.0,7.495890410958904,106.69275929549902,127,6.299365247660424,33.0,34.53543307086614,1.0,0,0,0.0,A,426,9,40,1006,screen,,,v2.2,False
1288.4,28.135890410958904,0.0,9.3786301369863,108.37377690802349,128,7.976125944072281,42.0,43.333333333333336,1.0,0,0,0.0,A,426,9,40,1007,screen,,,v2.2,False
1257.4,26.34246575342466,0.0,8.780821917808218,107.84001956947162,128,6.380349445626446,36.0,38.230366492146594,1.0,0,0,0.0,A,426,9,40,1008,screen,,,v2.2,False
1236.4,19.186849315068493,0.0,6.395616438356164,105.71037181996086,124,5.955577714381735,30.0,30.699029126213592,0.9989041095890412,0,0,0.0,A,426,9,40,1009,screen,,,v2.2,False
1086.4,4.576986301369863,4.553972602739726,0.0076712328767123,95.9408023483366,114,2.111922274455892,8.0,8.689024390243903,0.0065753424657534,0,0,0.0,B,378,8,40,1000,screen,,,v2.2,False
1092.0,4.604383561643836,4.584657534246575,0.0065753424657534,95.9124266144814,113,2.1185227562122817,8.0,8.467455621301776,0.0065753424657534,0,0,0.0,B,378,8,40,1001,screen,,,v2.2,False
1103.4,3.379178082191781,3.2953424657534245,0.027945205479452,97.08268101761252,114,1.7670858852458573,6.0,6.312217194570136,0.0235616438356164,0,0,0.0,B,378,8,40,1002,screen,,,v2.2,False
1088.4,4.298082191780822,4.224109589041096,0.0246575342465753,96.2504892367906,115,2.1372637973103457,8.0,8.496688741721854,0.0175342465753424,0,0,0.0,B,378,8,40,1003,screen,,,v2.2,False
1096.8,3.4597260273972603,3.418630136986301,0.0136986301369863,96.95988258317028,114,1.730988502800549,6.0,6.407894736842105,0.0120547945205479,0,0,0.0,B,378,8,40,1004,screen,,,v2.2,False
1086.4,4.205479452054795,4.179178082191781,0.0087671232876712,96.27641878669276,114,1.99532694270068,7.0,7.521551724137931,0.0082191780821917,0,0,0.0,B,378,8,40,1005,screen,,,v2.2,False
1100.4,3.276712328767123,3.1895890410958905,0.0290410958904109,97.17808219178082,115,1.8786164354672796,6.0,6.459016393442623,0.0252054794520547,0,0,0.0,B,378,8,40,1006,screen,,,v2.2,False
1107.2,3.905205479452055,3.854246575342466,0.016986301369863,96.5738747553816,114,1.9069069615630645,7.0,7.446428571428571,0.0142465753424657,0,0,0.0,B,378,8,40,1007,screen,,,v2.2,False
1090.8,3.976438356164384,3.904109589041096,0.0241095890410958,96.53571428571428,115,2.0054731648057693,7.0,7.417989417989418,0.0180821917808219,0,0,0.0,B,378,8,40,1008,screen,,,v2.2,False
1092.0,4.204383561643835,4.168219178082192,0.0120547945205479,96.28913894324852,113,1.8485361876388395,7.0,7.410526315789474,0.0120547945205479,0,0,0.0,B,378,8,40,1009,screen,,,v2.2,False
1159.6,11.185753424657534,6.42027397260274,1.5884931506849316,95.68590998043052,125,7.1491791022534255,27.0,30.894736842105264,0.28493150684931506,3843,3843,1.0,C,378,8,35,1000,screen,21.0,0.0,v2.2.1,True
1153.0,12.216438356164383,8.512876712328767,1.2345205479452055,93.50146771037181,125,6.707448189233167,24.0,26.441176470588236,0.27013698630136984,3717,3717,1.0,C,378,8,35,1000,screen,21.0,2.0,v2.2.1,True
1095.8,15.238904109589042,11.893698630136987,1.115068493150685,90.37622309197651,126,7.841698517570733,28.0,29.66315789473684,0.2553424657534247,3598,3598,1.0,C,378,8,35,1000,screen,21.0,4.0,v2.2.1,True
1182.2,11.072876712328767,6.539178082191781,1.5112328767123289,95.51076320939335,126,7.2797825735851065,27.0,30.835051546391753,0.2854794520547945,4599,4599,1.0,C,378,8,35,1000,screen,28.0,0.0,v2.2.1,True
1153.0,12.216438356164383,8.512876712328767,1.2345205479452055,93.50146771037181,125,6.707448189233167,24.0,26.441176470588236,0.27013698630136984,4508,4508,1.0,C,378,8,35,1000,screen,28.0,2.0,v2.2.1,True
1126.6,15.39013698630137,11.387397260273973,1.3342465753424657,91.02397260273972,126,8.159667016828733,30.0,31.702970297029704,0.26465753424657534,4424,4424,1.0,C,378,8,35,1000,screen,28.0,4.0,v2.2.1,True
1159.2,10.828493150684931,6.492054794520548,1.4454794520547944,95.49412915851272,125,6.055541464816145,24.0,27.68041237113402,0.2843835616438356,3738,3738,1.0,C,378,8,35,1001,screen,21.0,0.0,v2.2.1,True
